airport_key,airport,airport_icao,latitude_x,longitude_x,timezone,city,country,continent,country_code,geoname_id,name,asciiname,alternatenames,admin1_code,admin2_code,latitude_y,longitude_y,haversine,state,county
19,Temae,NTTM,-17.490433,-149.76414,Pacific/Tahiti,Moorea,French Polynesia,Oceania,PF,6354944,Moorea-Temae Airport,Moorea-Temae Airport,"Aeroport de Moorea-Temae,Aéroport de Moorea-Temae,MOZ,Moorea Airport,Moorea-Temae Airport,NTTM",01,,-17.488789999999998,-149.76202,0.28970351358371277,Îles du Vent,
20,Mataiva,NTGV,-14.833332999999998,-148.41666999999998,Pacific/Tahiti,Mataiva,French Polynesia,Oceania,PF,7730128,Mataiva Airport,Mataiva Airport,"MVT,NTGV",,,-14.8681,-148.717,32.51038459894093,,
21,Napuka Island,NTGN,-14.166667000000002,-141.58333000000002,Pacific/Tahiti,Napuka Island,French Polynesia,Oceania,PF,7730697,Napuka Airport,Napuka Airport,"NAU,NTGN,Napuka Airport",03,,-14.1768,-141.267,34.122457928982946,Îles Tuamotu-Gambier,
22,Nuku Hiva,NTMD,-8.795214,-140.22223,Pacific/Marquesas,Nuku Hiva,French Polynesia,Oceania,PF,7730130,Nuku Hiva Airport,Nuku Hiva Airport,"Aeroport de Nuku Hiva,Aéroport de Nuku Hiva,NHV,NTMD,Nuku Hiva Airport",04,,-8.7956,-140.22899999999998,0.7451754951184187,Îles Marquises,
23,Niau,NTKN,-16.121988,-146.37325,Pacific/Tahiti,Niau,French Polynesia,Oceania,PF,8298709,Niau Airport,Niau Airport,"Aeroport de Niau,Aéroport de Niau,NIU,NTKN,Niau Airport",03,,-16.11906,-146.36802,0.6466290623083303,Îles Tuamotu-Gambier,
24,Nukutavake,NTGW,-19.183332,-138.7,Pacific/Tahiti,Nukutavake,French Polynesia,Oceania,PF,7730700,Nukutavake Airport,Nukutavake Airport,"Aerodrome de Nukutavake,Aérodrome de Nukutavake,NTGW,NUK,Nukutavake Airport",03,,-19.285,-138.77200000000002,13.599386686170462,Îles Tuamotu-Gambier,
25,Puka Puka,NTGP,-14.75,-138.96666000000002,Pacific/Tahiti,Puka Puka,French Polynesia,Oceania,PF,7730125,Puka Puka Airport,Puka Puka Airport,"NTGP,PKP",,,-14.8095,-138.813,17.796444587393093,,
26,Faa'a,NTAA,-17.55963,-149.60938000000002,Pacific/Tahiti,Papeete,French Polynesia,Oceania,PF,6299963,Fa'a'ā International Airport,Fa'a'a International Airport,"Aeroport International Tahiti Fa'a'a,Aéroport International Tahiti Fa'a'ā,Fa'a'a International Airport,Fa'a'ā International Airport,Mezhdunarodnyj aehroport Faaa,NTAA,PPT,fa a guo ji ji chang,pa gugjegonghang,papete・tahichi guo ji kong gang,Международный аэропорт Фааа,パペーテ・タヒチ国際空港,法阿國際機場,파 국제공항",01,,-17.55375,-149.60724,0.6920702800571772,Îles du Vent,
27,Pukarua,NTGQ,-18.296125,-137.01783999999998,Pacific/Tahiti,Pukarua,French Polynesia,Oceania,PF,7730699,Pukarua Airport,Pukarua Airport,"Aerodrome de Pukarua,Aérodrome de Pukarua,NTGQ,PUK,Pukarua Airport",03,,-18.2956,-137.017,0.10617176104519117,Îles Tuamotu-Gambier,
28,Reao,NTGE,-18.5,-136.4,Pacific/Tahiti,Reao,French Polynesia,Oceania,PF,7730121,Reao Airport,Reao Airport,"Aeroport de Reao,Aeropuerto de Reao,Aéroport de Reao,Flughafen Reao,NTGE,REA,Reao Airport",03,10295340,-18.4659,-136.44,5.672044336113348,Îles Tuamotu-Gambier,Reao
