airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
61,Aurukun Mission,YAUR,-13.166667,142.25,Australia/Brisbane,Aurukun Mission,Australia,Oceania
62,Auvergne,YAUV,-15.65,130.01666,Australia/Darwin,Auvergne,Australia,Oceania
63,Avalon,YMAV,-38.02637,144.47308,Australia/Melbourne,Melbourne,Australia,Oceania
64,Moorabbin,YMMB,-37.975834,145.10222,Australia/Melbourne,Melbourne,Australia,Oceania
65,Essendon,YMEN,-37.736668,144.8975,Australia/Melbourne,Melbourne,Australia,Oceania
66,Tullamarine,YMML,-37.669613,144.84978,Australia/Melbourne,Melbourne,Australia,Oceania
67,Austral Downs,YAUS,-20.5,137.75,Australia/Darwin,Austral Downs,Australia,Oceania
68,Aramac,YAMC,-22.958055,145.2425,Australia/Brisbane,Aramac,Australia,Oceania
69,Alexandria,YALX,-19.083332,136.66667,Australia/Darwin,Alexandria,Australia,Oceania
70,Connellan,YAYE,-25.190878,130.97658,Australia/Darwin,Ayers Rock,Australia,Oceania
71,Ayr,YAYR,-19.596666,147.32445,Australia/Brisbane,Ayr,Australia,Oceania
72,Barcaldine,YBAR,-23.559168,145.30194,Australia/Brisbane,Barcaldine,Australia,Oceania
73,Bundaberg,YBUD,-24.898708,152.32187,Australia/Brisbane,Bundaberg,Australia,Oceania
74,Badu Island,YBAU,-10.148655,142.17166,Australia/Brisbane,Badu Island,Australia,Oceania
75,Belmont,YPEC,-33.033333,151.66667,Australia/Sydney,Newcastle,Australia,Oceania
76,Williamtown,YWLM,-32.804592,151.84006,Australia/Sydney,Newcastle,Australia,Oceania
77,Bedourie,YBIE,-24.23,139.445,Australia/Brisbane,Bedourie,Australia,Oceania
78,Broken Hill,YBHI,-31.998983,141.46857,Australia/Broken_Hill,Broken Hill,Australia,Oceania
79,Raglan,YBTH,-33.41387,149.65518,Australia/Sydney,Bathurst,Australia,Oceania
80,Blackall,YBCK,-24.434168,145.42833,Australia/Brisbane,Blackall,Australia,Oceania
81,Benalla,YBLA,-36.55,145.98334,Australia/Melbourne,Benalla,Australia,Oceania
82,Bollon,YBLL,-28.05,147.48334,Australia/Brisbane,Bollon,Australia,Oceania
83,Blackwater,YBTR,-23.602184,148.8084,Australia/Brisbane,Blackwater,Australia,Oceania
84,Broome,YBRM,-17.95264,122.23429,Australia/Perth,Broome,Australia,Oceania
85,Brampton Island,YBPI,-20.783333,149.23334,Australia/Brisbane,Brampton Island,Australia,Oceania
